distance,mean_per_dist_bin_Temperature,std_per_dist_bin_Temperature,mean_per_dist_bin_Salinity,std_per_dist_bin_Salinity,mean_per_dist_bin_Doxy,std_per_dist_bin_Doxy,mean_per_dist_bin_Nitrate,std_per_dist_bin_Nitrate,mean_per_dist_bin_Pressure,std_per_dist_bin_Pressure,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
1000,11.009821000672172,0.27234170762169146,34.23616655597912,0.03710342930478512,211.77799071901237,17.38551635060731,13.665356125370147,1.3267688094504861,324.05932641350523,87.43549529939271,-10.238717655011072,-3.6230933033394193,2.277380625824566,-5.956435700676041,1.7558910463448902,0.7876402802621154,0.3764252782690304,0.2366142304586027,0.3627650377177893,0.2249097905862686,0.425,0.15314003921517,0.325,0.0585564399870214,0.175,0.1032302712542684,270.44455962934285,-1.55523251813554
2000,11.105730131227677,0.27852817979888733,34.2528375520053,0.04632116351668505,219.65869615342885,9.759439447092486,12.29675,0.9931408195719275,418.6102743488468,92.61714308377259,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,269.9339779262649,-1.5840049508661591
3000,11.282135382175445,0.2048495005442944,34.291051937739056,0.01972013716957608,219.325,8.700395105970765,11.099499999999999,1.7958970599675248,379.6124998092651,30.962471489887232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,268.8331553220884,-1.1566047200432763
4000,10.89008524116753,0.28275989792314915,34.20877303722688,0.04287372015716096,210.4249296176049,11.589958688486131,13.973919557879048,1.1573729521757607,354.6655130415183,57.70379612963026,-1.3530611014074625,-14.675316982163787,0.7894445484874542,-1.4440036600352837,0.9024864081281514,0.308563432508901,0.0483444269495688,0.0820202128298654,0.3627650377177893,0.133454813363596,0.8750000000000001,0.05,0.025,0.05,0.125,0.05,271.2046422809782,-1.6226861750845956
5000,10.679644277363428,0.24362530359335188,34.16387355941592,0.0391083030198802,222.7324238289757,12.678285203613289,13.998874215453418,1.189813530275508,287.2519376526575,49.15223305279362,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,272.45657524755114,-1.4105855085259122
6000,10.656976454177371,0.27897397885404845,34.156427438978305,0.04525670267001938,195.1377958010176,16.18650652070076,14.897997539832499,1.6662991274379022,361.7562238189057,46.01143881269723,-15.2871338165873,-0.4653151093895991,0.7894445484874542,-10.468867741316796,2.323022992486155,0.9240779819534506,0.0483444269495688,0.0820202128298654,0.7631294778085771,0.1119952813648466,0.475,0.1488580842928804,0.125,0.1455193507077344,0.325,0.0696174698331858,272.6552867579667,-1.6165557105920811
7000,10.733109872074674,0.25931674895890605,34.1722544936599,0.039028573572523984,187.6063344418203,11.477884891093629,16.317001344926517,1.2411740583498425,380.7181930298907,32.70773984813137,-7.531461359197294,-4.412537851826873,2.800293500649789,-0.5415172519071323,2.319325198504231,1.419003805094018,0.4584454910988958,0.2909419822569872,0.7631294778085771,0.3180212100677649,0.475,0.210998068326428,0.275,0.0876388652608938,0.225,0.1086750250859256,272.19766401125054,-1.4978360957958046
8000,10.918038669920314,0.24801733046891025,34.21288619173957,0.03348458568582197,179.25792916357548,7.050868988492182,16.060854696325354,1.2567040012029949,418.04611475589496,31.678198205924016,-8.348405278244826,-2.8336487548519638,1.9334009800321368,-5.053949292547889,2.162233802234633,-0.2561466486011632,0.294405065439165,0.2008705346830642,-0.4379638424637865,0.0661526099188922,0.325,0.1511368683334518,0.475,0.05,0.225,0.1333292931543699,271.0819088190342,-1.4214822732749326
9000,11.21125,0.16848646088039282,34.268,0.010319883720276398,195.46249999999998,1.497804643469901,14.645,0.23796008068581603,406.4,4.733920151417845,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,269.29732624915283,-0.954098882152408
10000,11.00715063789501,0.20558649883186472,34.232223092277785,0.015302264043622855,172.6450817374296,11.328413238815045,nan,nan,419.28633576167215,22.443592589602968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,270.53579528187294,-1.1739388859784867
11000,11.013726423353965,0.2042625505402095,34.23463166076833,0.01436254053316183,172.6534830158954,9.311631055041921,16.236758003234865,1.4119849082788578,422.3712141044449,20.998253969311197,-6.604446147680079,-2.044204206364509,1.7103319963584391,-2.346490068163435,1.30488654455565,0.175903306909511,0.2123848526092996,0.1776945079214278,0.0958554109905973,0.178198299557878,0.475,0.1204024338061493,0.375,0.0349340487455449,0.125,0.0865874899478581,270.4958485870787,-1.1660423691788535
