distance,mean_per_dist_bin_Temperature,std_per_dist_bin_Temperature,mean_per_dist_bin_Salinity,std_per_dist_bin_Salinity,mean_per_dist_bin_Doxy,std_per_dist_bin_Doxy,mean_per_dist_bin_Nitrate,std_per_dist_bin_Nitrate,mean_per_dist_bin_Pressure,std_per_dist_bin_Pressure,dOtot,dObgc,dObgc_std,dOmix,dOmix_std,dNtot,dNbgc,dNbgc_std,dNmix,dNmix_std,fO,fO_std,fabove,fabove_std,fbelow,fbelow_std,O2sat,O2sat_std
1000,4.509777690429835,0.22245791116803504,34.28872840403824,0.01886510200383023,215.8180005706703,9.146221108893503,30.30473143622989,0.7132004609677515,926.8434508151234,73.72103322949748,-11.41477225647813,-4.653169004377306,2.6733043537500265,-7.547268183467439,1.059932700442161,0.5372315125238352,0.4834461303249148,0.2777459935687117,0.0686402310191038,0.2187698153427967,0.175,0.1566178322925101,0.425,0.0593827207861891,0.475,0.05,313.15625816663754,-1.6543012108415098
2000,4.560559978050049,0.19969237834298323,34.29351148518507,0.01454378835207098,211.74462646116694,4.687923479121666,30.64617840549402,0.6950811330090951,973.6127233680112,65.0709154451937,-4.073374109503362,-3.832316211879688,1.4758078852463437,-0.1277392803723156,1.1867325713057897,0.3414469692641297,0.3981627233121753,0.1533221393815045,-0.0657666877093172,0.1531104371638619,0.425,0.1980010065191874,0.325,0.147463030621103,0.175,0.05,312.7980990758507,-1.4814639429425256
3000,4.7435537670570245,0.19198851390788343,34.31227133230564,0.011809791135030352,206.93681929004117,3.911116919873659,30.521204251993392,0.6228295725141428,990.4639870976789,49.94810320582395,-4.8078071711257735,-3.832316211879688,2.0079261801971016,-1.1876719808144758,1.430665269225421,-0.1249741535006272,0.3981627233121753,0.2086099125105855,-0.4689874438945816,0.2356398309835556,0.175,0.0617349687822552,0.475,0.097843824473405,0.225,0.0891902576040018,311.41329004917674,-1.4129266288017843
4000,4.717292932582387,0.18277113890186547,34.30987002453662,0.012428168019313636,205.28284008668612,5.019910896043738,30.501004650888877,0.6630547441568735,997.853149208097,47.31823218037508,-1.6539792033550498,-0.5489050418892187,0.8208527924976181,-1.1876719808144758,1.059932700442161,-0.0201996011045153,0.0570290952612174,0.0852834070127394,-0.0657666877093172,0.1344069187284211,0.425,0.4531949006140304,0.225,0.1301231025695058,0.225,0.1326542607538643,311.61708312817507,-1.346586448348006
5000,4.767940078199286,0.17454284099516912,34.31039264831511,0.00860896525008195,203.21369902858882,4.149612945555886,30.3960073135434,0.6148825756562799,991.3038461556184,37.97487635592688,-2.0691410580973013,-2.190610626884453,0.8208527924976181,0.9321934200698454,1.2094410717408928,-0.1049973373454769,0.2275959092866963,0.0852834070127394,-0.3345805251661602,0.1344069187284211,0.475,0.1801857862077005,0.375,0.1290974569594068,0.075,0.05,311.2388240603506,-1.2832252580211048
6000,4.779370119953535,0.19077764962501,34.31893896229049,0.01390368371078014,204.050966997932,4.877366003498717,30.44181173811046,0.6583337681861404,1008.5340333733426,50.2891639148847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,311.1463353768006,-1.4016989383037526
7000,4.827374252513891,0.17269287253589255,34.322993916038286,0.011945444219019895,201.83632768802772,4.489768855919072,30.445051131263146,0.7454956167657456,980.6113726356406,52.3893034893508,-1.3773713405610977,-2.190610626884453,0.4441726970606339,-0.1277392803723156,0.5652693895515821,0.0490438177197454,0.2275959092866963,0.0461478154431425,-0.2001736064377388,0.1344069187284211,0.425,0.1074575747300446,0.375,0.110163880112399,0.125,0.0923899784106036,310.7662171419935,-1.2663170501222965
8000,4.885608316587687,0.20731318291523235,34.334015137353866,0.030997140707725586,198.42424937131378,5.339304899594461,29.99997293935239,0.7795401005943315,999.730353396784,58.76904719473596,-3.412078316713945,-3.0114634193820717,0.8208527924976181,0.9321934200698454,1.353887611107622,-0.4450781919107562,0.3128793162994359,0.0852834070127394,-0.6033943626230027,0.1344069187284211,0.225,0.0858497801489159,0.475,0.0995251702823109,0.225,0.0922827630138815,310.3268811439354,-1.5161703670150928
9000,4.848792975197769,0.19550067652307998,34.341899508443696,0.02275778044819911,198.45740483359683,4.149475954487367,30.25697410706551,0.7020861072119348,1027.2506106492947,53.77281809299175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025,0.05,0.025,0.05,0.025,0.05,310.5963012726016,-1.4317566495309393
10000,5.2600999999999996,0.21786843446640475,34.419486842105265,0.034966368586586055,192.09894736842102,4.2285618990470075,29.378447368421053,0.6423753082922793,1029.9105263157894,38.53993000754089,-6.325302002892755,-3.832316211879688,2.105867966777388,-2.247604681256636,1.798719615546414,-0.6215255709313361,0.3981627233121753,0.2187900476349748,-1.0066151188082668,0.1818379590008902,0.075,0.0288093763127761,0.475,0.05,0.275,0.1221396197963619,307.4348865280779,-1.566854837755869
